title,location,call,access,parking,height,lift,toilet,customRoom,seat,ticket,blindConve,deafConve,guidance,wheelchair,longitude,latitude
농부의아들,서울시 서초구 서초중앙로33길 8,-1,Y,Y,N,N,N,N,N,N,N,N,N,N,127.0110961,37.50132335
하림각,서울시 종로구 자하문로  255,02-396-2442,N,Y,Y,N,N,N,N,N,N,N,N,N,126.9625618,37.59708245
빵경이네 도야지,서울시 강남구 테헤란로39길 40,-1,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0408021,37.50512569
오발탄,서울시 강남구 논현로86길  12,02-2051-7775,Y,N,Y,N,N,N,N,N,N,N,N,N,127.0388063,37.49953742
동구밖 장작구이(단군의땅),서울시 강동구 진황도로 227,02-488-5292,Y,Y,N,N,N,N,N,N,N,N,N,N,127.1449985,37.52635685
전원일기,서울시 중랑구 망우로 438,-1,Y,Y,Y,N,N,N,N,N,N,N,N,N,0,0
커피빈 코리아 삼성점(우창빌딩),서울시 강남구 삼성로  646,-1,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0511868,37.51769447
근린생활시설(진할매칼국수보쌈),서울시 노원구 동일로242길 109,02-951-1507,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0612747,37.6747613
해주곰탕,서울시 노원구 공릉로 360,02-975-2289,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0697324,37.6388551
한국피자헛등촌점(샷뽀르),서울시 강서구 공항대로  347,02-2658-6777,Y,N,Y,N,N,N,N,N,N,N,N,N,126.8465667,37.55802023
논골집,서울시 강남구 압구정로79길 55,02-543-0135,Y,Y,N,N,N,N,N,N,N,N,N,N,127.0516348,37.52567318
이하정 간장게장 서울본점,서울시 송파구 위례성대로18길  4,-1,Y,Y,Y,N,N,N,Y,N,N,N,N,N,127.1261018,37.51179351
갈비둥지,서울시 노원구 덕릉로 692,02-935-9000,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0756753,37.65939449
해동수산광장점,서울시 광진구 광나루로 619,-1,Y,N,Y,N,N,N,N,N,N,N,N,N,127.0966367,37.54101879
이조화로구이,서울시 강서구 양천로  738,02-2659-8073,Y,Y,Y,N,N,N,N,N,N,N,N,N,126.8777823,37.54875179
근린생활시설(풍천민물장어),서울시 노원구 노해로81길 12-26,02-935-5523,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0642202,37.65560876
샬롬빌,서울시 강남구 강남대로154길  35,-1,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0218073,37.51848955
보름달,서울시 강남구 테헤란로37길 22,02-556-6777,Y,N,Y,N,N,N,N,N,N,N,N,N,127.0405124,37.50370267
한국 피자헛 한티역점,서울시 강남구 도곡로  407,02-554-4864,Y,N,Y,N,N,N,N,N,N,N,N,N,127.0549778,37.49731216
무스쿠스(도화타워),서울시 강남구 삼성로 438,02-558-9280,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0575235,37.506128
신동희,서울시 송파구 석촌호수로 174,-1,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0963028,37.50650017
만석장,서울시 은평구 대서문길  43-10,02-385-2093,Y,Y,Y,N,N,N,N,N,N,N,N,N,126.9495566,37.65584825
그라노 더 그릴(히든하우스),서울시 강남구 언주로168길  16,02-540-7330,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0349353,37.52615617
대가순대국,서울시 노원구 한글비석로 452,02-939-8592,Y,Y,N,N,N,N,N,N,N,N,N,N,127.0678617,37.66401017
